"","X.1","X","sex","vowel","stress","word","dur","pre_seg","fol_seg","speaker","community","class","point","word_count","pre_place","fol_place","F1","F2"
"5541",7379,7379,"Male","EY",1,"everyday",0.07,"D","T",101,"Anglo","LWC",2,1,"coronal","coronal",449.122,1394.478
"5542",7380,7380,"Male","EY",1,"everyday",0.07,"D","T",101,"Anglo","LWC",4,1,"coronal","coronal",424.42,1423.937
"5543",7381,7381,"Male","EY",1,"basic",0.1,"B","S",101,"Anglo","LWC",2,4,"labial","coronal",476.229,1301.015
"5544",7382,7382,"Male","EY",1,"basic",0.1,"B","S",101,"Anglo","LWC",4,4,"labial","coronal",398.996,1305.95
"5545",7383,7383,"Male","EY",1,"basic",0.09,"B","S",101,"Anglo","LWC",2,4,"labial","coronal",538.616,1317.464
"5546",7384,7384,"Male","EY",1,"basic",0.09,"B","S",101,"Anglo","LWC",4,4,"labial","coronal",452.007,1468.949
"5547",7385,7385,"Male","IY",1,"leaving",0.06,"L","V",101,"Anglo","LWC",2,1,"coronal","labial",414.563,1427.377
"5548",7386,7386,"Male","IY",1,"leaving",0.06,"L","V",101,"Anglo","LWC",4,1,"coronal","labial",399.477,1532.055
"5549",7387,7387,"Male","AY",1,"kind",0.07,"K","N",101,"Anglo","LWC",2,22,"dorsal","coronal",346.646,1123.659
"5550",7388,7388,"Male","AY",1,"kind",0.07,"K","N",101,"Anglo","LWC",4,22,"dorsal","coronal",326.992,1166.279
"5551",7391,7391,"Male","IY",1,"teacher",0.07,"T","CH",101,"Anglo","LWC",2,1,"coronal","coronal",408.192,1414.965
"5552",7392,7392,"Male","IY",1,"teacher",0.07,"T","CH",101,"Anglo","LWC",4,1,"coronal","coronal",387.697,1507.68
"5553",7393,7393,"Male","IY",1,"teach",0.15,"T","CH",101,"Anglo","LWC",2,3,"coronal","coronal",417.328,1368.458
"5554",7394,7394,"Male","IY",1,"teach",0.15,"T","CH",101,"Anglo","LWC",4,3,"coronal","coronal",394.969,1532.504
"5555",7395,7395,"Male","IY",1,"need",0.07,"N","D",101,"Anglo","LWC",2,3,"coronal","coronal",394.669,1444.723
"5556",7396,7396,"Male","IY",1,"need",0.07,"N","D",101,"Anglo","LWC",4,3,"coronal","coronal",356.683,1531.756
"5557",7397,7397,"Male","IY",1,"need",0.07,"N","D",101,"Anglo","LWC",2,3,"coronal","coronal",343.761,1489.735
"5558",7398,7398,"Male","IY",1,"need",0.07,"N","D",101,"Anglo","LWC",4,3,"coronal","coronal",352.657,1611.312
"5559",7399,7399,"Male","UW",1,"use",0.08,"Y","Z",101,"Anglo","LWC",2,1,"coronal","coronal",380.785,1542.972
"5560",7400,7400,"Male","UW",1,"use",0.08,"Y","Z",101,"Anglo","LWC",4,1,"coronal","coronal",381.687,1503.493
"5561",7401,7401,"Male","IY",1,"keep",0.05,"K","P",101,"Anglo","LWC",2,5,"dorsal","labial",404.105,1483.155
"5562",7402,7402,"Male","IY",1,"keep",0.05,"K","P",101,"Anglo","LWC",4,5,"dorsal","labial",389.56,1512.316
"5563",7403,7403,"Male","EY",1,"gain",0.1,"G","N",101,"Anglo","LWC",2,1,"dorsal","coronal",386.675,1354.102
"5564",7404,7404,"Male","EY",1,"gain",0.1,"G","N",101,"Anglo","LWC",4,1,"dorsal","coronal",479.114,1458.481
"5565",7405,7405,"Male","IY",1,"complete",0.07,"L","T",101,"Anglo","LWC",2,1,"coronal","coronal",393.587,1363.672
"5566",7406,7406,"Male","IY",1,"complete",0.07,"L","T",101,"Anglo","LWC",4,1,"coronal","coronal",374.775,1429.171
"5567",7409,7409,"Male","EY",1,"eighty",0.07,"T","T",101,"Anglo","LWC",2,1,"coronal","coronal",447.44,1540.13
"5568",7410,7410,"Male","EY",1,"eighty",0.07,"T","T",101,"Anglo","LWC",4,1,"coronal","coronal",392.746,1544.766
"5569",7415,7415,"Male","EY",1,"hated",0.07,"HH","T",101,"Anglo","LWC",2,1,"glottal","coronal",522.389,1374.888
"5570",7416,7416,"Male","EY",1,"hated",0.07,"HH","T",101,"Anglo","LWC",4,1,"glottal","coronal",421.475,1211.141
"5571",7417,7417,"Male","AY",1,"guys",0.05,"G","Z",101,"Anglo","LWC",2,2,"dorsal","coronal",351.274,1184.223
"5572",7418,7418,"Male","AY",1,"guys",0.05,"G","Z",101,"Anglo","LWC",4,2,"dorsal","coronal",400.559,1283.967
"5573",7419,7419,"Male","IY",1,"st",0.06,"R","T",101,"Anglo","LWC",2,1,"coronal","coronal",371.709,1466.855
"5574",7420,7420,"Male","IY",1,"st",0.06,"R","T",101,"Anglo","LWC",4,1,"coronal","coronal",401.941,1472.388
"5575",7423,7423,"Male","EY",1,"rave",0.1,"R","V",101,"Anglo","LWC",2,1,"coronal","labial",502.614,1293.388
"5576",7424,7424,"Male","EY",1,"rave",0.1,"R","V",101,"Anglo","LWC",4,1,"coronal","labial",485.725,1432.162
"5577",7425,7425,"Male","IY",1,"teach",0.07,"T","CH",101,"Anglo","LWC",2,3,"coronal","coronal",418.109,1425.732
"5578",7426,7426,"Male","IY",1,"teach",0.07,"T","CH",101,"Anglo","LWC",4,3,"coronal","coronal",377.479,1284.416
"5579",7427,7427,"Male","EY",1,"mate's",0.09,"M","T",101,"Anglo","LWC",2,2,"labial","coronal",524.552,1279.63
"5580",7428,7428,"Male","EY",1,"mate's",0.09,"M","T",101,"Anglo","LWC",4,2,"labial","coronal",358.366,1071.32
"5581",7429,7429,"Male","EY",1,"place",0.09,"L","S",101,"Anglo","LWC",2,3,"coronal","coronal",503.576,1285.762
"5582",7430,7430,"Male","EY",1,"place",0.09,"L","S",101,"Anglo","LWC",4,3,"coronal","coronal",330.659,1071.619
"5583",7431,7431,"Male","EY",1,"a",0.07,"D","K",101,"Anglo","LWC",2,11,"coronal","dorsal",474.065,1444.275
"5584",7432,7432,"Male","EY",1,"a",0.07,"D","K",101,"Anglo","LWC",4,11,"coronal","dorsal",392.926,1428.423
"5585",7433,7433,"Male","AY",1,"i've",0.05,"Z","V",101,"Anglo","LWC",2,1,"coronal","labial",465.531,1427.377
"5586",7434,7434,"Male","AY",1,"i've",0.05,"Z","V",101,"Anglo","LWC",4,1,"coronal","labial",453.33,1275.294
"5587",7435,7435,"Male","IY",1,"need",0.09,"N","D",101,"Anglo","LWC",2,3,"coronal","coronal",406.69,1467.753
"5588",7436,7436,"Male","IY",1,"need",0.09,"N","D",101,"Anglo","LWC",4,3,"coronal","coronal",393.527,1535.943
"5589",7437,7437,"Male","EY",1,"stabilise",0.13,"T","B",101,"Anglo","LWC",2,1,"coronal","labial",541.381,1286.958
"5590",7438,7438,"Male","EY",1,"stabilise",0.13,"T","B",101,"Anglo","LWC",4,1,"coronal","labial",481.699,1427.975
"5591",7439,7439,"Male","AY",1,"drive",0.08,"R","V",101,"Anglo","LWC",2,4,"coronal","labial",417.208,1198.729
"5592",7440,7440,"Male","AY",1,"drive",0.08,"R","V",101,"Anglo","LWC",4,4,"coronal","labial",403.384,1127.847
"5593",7441,7441,"Male","IY",1,"east",0.07,"V","S",101,"Anglo","LWC",2,1,"labial","coronal",390.401,1393.58
"5594",7442,7442,"Male","IY",1,"east",0.07,"V","S",101,"Anglo","LWC",4,1,"labial","coronal",373.633,1479.716
"5595",7443,7443,"Male","AY",1,"drive",0.08,"R","V",101,"Anglo","LWC",2,4,"coronal","labial",410.115,1107.958
"5596",7444,7444,"Male","AY",1,"drive",0.08,"R","V",101,"Anglo","LWC",4,4,"coronal","labial",491.195,1170.167
"5597",7445,7445,"Male","EY",1,"make",0.06,"M","K",101,"Anglo","LWC",2,5,"labial","dorsal",499.429,1285.313
"5598",7446,7446,"Male","EY",1,"make",0.06,"M","K",101,"Anglo","LWC",4,5,"labial","dorsal",357.465,1240.002
"5599",7447,7447,"Male","AY",1,"five",0.12,"F","V",101,"Anglo","LWC",2,3,"labial","labial",470.639,1169.12
"5600",7448,7448,"Male","AY",1,"five",0.12,"F","V",101,"Anglo","LWC",4,3,"labial","labial",493.479,1157.306
"5601",7451,7451,"Male","UW",1,"two",0.05,"T","Y",101,"Anglo","LWC",2,9,"coronal","coronal",452.188,1475.977
"5602",7452,7452,"Male","UW",1,"two",0.05,"T","Y",101,"Anglo","LWC",4,9,"coronal","coronal",394.969,1324.044
"5603",7453,7453,"Male","UW",1,"knew",0.07,"Y","DH",101,"Anglo","LWC",2,3,"coronal","coronal",352.717,1043.207
"5604",7454,7454,"Male","UW",1,"knew",0.07,"Y","DH",101,"Anglo","LWC",4,3,"coronal","coronal",360.47,1003.728
"5605",7455,7455,"Male","IY",1,"screeching",0.07,"R","CH",101,"Anglo","LWC",2,1,"coronal","coronal",394.489,1408.086
"5606",7456,7456,"Male","IY",1,"screeching",0.07,"R","CH",101,"Anglo","LWC",4,1,"coronal","coronal",374.414,1542.822
"5607",7457,7457,"Male","UW",1,"knew",0.07,"Y","DH",101,"Anglo","LWC",2,3,"coronal","coronal",342.499,1057.114
"5608",7458,7458,"Male","UW",1,"knew",0.07,"Y","DH",101,"Anglo","LWC",4,3,"coronal","coronal",354.159,1011.354
"5609",7461,7461,"Male","EY",1,"make",0.06,"M","K",101,"Anglo","LWC",2,5,"labial","dorsal",551.839,1308.043
"5610",7462,7462,"Male","EY",1,"make",0.06,"M","K",101,"Anglo","LWC",4,5,"labial","dorsal",336.128,1073.713
"5611",7465,7465,"Male","EY",1,"made",0.08,"M","D",101,"Anglo","LWC",2,2,"labial","coronal",599.922,1342.138
"5612",7466,7466,"Male","EY",1,"made",0.08,"M","D",101,"Anglo","LWC",4,2,"labial","coronal",301.028,1130.538
"5613",7467,7467,"Male","AY",1,"drive",0.11,"R","V",101,"Anglo","LWC",2,4,"coronal","labial",428.747,1172.559
"5614",7468,7468,"Male","AY",1,"drive",0.11,"R","V",101,"Anglo","LWC",4,4,"coronal","labial",489.572,1192.299
"5615",7469,7469,"Male","AY",1,"drive",0.06,"R","V",101,"Anglo","LWC",2,4,"coronal","labial",506.521,1246.432
"5616",7470,7470,"Male","AY",1,"drive",0.06,"R","V",101,"Anglo","LWC",4,4,"coronal","labial",458.318,1281.874
"5617",7471,7471,"Male","EY",1,"again",0.05,"G","N",101,"Anglo","LWC",2,1,"dorsal","coronal",383.49,1465.36
"5618",7472,7472,"Male","EY",1,"again",0.05,"G","N",101,"Anglo","LWC",4,1,"dorsal","coronal",416.907,1507.53
"5619",7475,7475,"Male","UW",1,"do",0.12,"D","DH",101,"Anglo","LWC",2,15,"coronal","coronal",397.313,1434.854
"5620",7476,7476,"Male","UW",1,"do",0.12,"D","DH",101,"Anglo","LWC",4,15,"coronal","coronal",402.482,1459.977
"5621",7477,7477,"Male","EY",1,"straight",0.08,"R","T",101,"Anglo","LWC",2,1,"coronal","coronal",499.429,1557.477
"5622",7478,7478,"Male","EY",1,"straight",0.08,"R","T",101,"Anglo","LWC",4,1,"coronal","coronal",376.157,1381.617
"5623",7479,7479,"Male","AY",1,"type",0.1,"T","P",101,"Anglo","LWC",2,5,"coronal","labial",383.79,1104.07
"5624",7480,7480,"Male","AY",1,"type",0.1,"T","P",101,"Anglo","LWC",4,5,"coronal","labial",500.871,1164.933
"5625",7481,7481,"Male","AY",1,"kind",0.06,"K","N",101,"Anglo","LWC",2,22,"dorsal","coronal",491.976,1311.333
"5626",7482,7482,"Male","AY",1,"kind",0.06,"K","N",101,"Anglo","LWC",4,22,"dorsal","coronal",393.827,1172.26
"5627",7483,7483,"Male","AY",1,"type",0.12,"T","P",101,"Anglo","LWC",2,5,"coronal","labial",523.651,1232.376
"5628",7484,7484,"Male","AY",1,"type",0.12,"T","P",101,"Anglo","LWC",4,5,"coronal","labial",514.214,1137.118
"5629",7485,7485,"Male","AY",1,"type",0.11,"T","P",101,"Anglo","LWC",2,5,"coronal","labial",466.973,1379.673
"5630",7486,7486,"Male","AY",1,"type",0.11,"T","P",101,"Anglo","LWC",4,5,"coronal","labial",444.254,1164.634
"5631",7487,7487,"Male","AY",1,"type",0.08,"T","P",101,"Anglo","LWC",2,5,"coronal","labial",469.257,1250.47
"5632",7488,7488,"Male","AY",1,"type",0.08,"T","P",101,"Anglo","LWC",4,5,"coronal","labial",502.735,1174.503
"5633",7489,7489,"Male","IY",1,"people",0.05,"P","P",101,"Anglo","LWC",2,5,"labial","labial",438.544,1356.943
"5634",7490,7490,"Male","IY",1,"people",0.05,"P","P",101,"Anglo","LWC",4,5,"labial","labial",404.826,1413.469
"5635",7493,7493,"Male","AY",1,"kind",0.06,"K","N",101,"Anglo","LWC",2,22,"dorsal","coronal",503.937,1192
"5636",7494,7494,"Male","AY",1,"kind",0.06,"K","N",101,"Anglo","LWC",4,22,"dorsal","coronal",437.162,1131.884
"5637",7495,7495,"Male","UW",1,"too",0.15,"T","F",101,"Anglo","LWC",2,5,"coronal","labial",367.202,1053.824
"5638",7496,7496,"Male","UW",1,"too",0.15,"T","F",101,"Anglo","LWC",4,5,"coronal","labial",365.398,1174.802
"5639",7497,7497,"Male","AY",1,"kind",0.05,"K","N",101,"Anglo","LWC",2,22,"dorsal","coronal",558.27,1170.914
"5640",7498,7498,"Male","AY",1,"kind",0.05,"K","N",101,"Anglo","LWC",4,22,"dorsal","coronal",507.783,1175.401
"5641",7499,7499,"Male","AY",1,"kind",0.13,"K","N",101,"Anglo","LWC",2,22,"dorsal","coronal",402.182,1188.71
